week #,date,module,proposed module classification / title,lecture,subtitle,proposed new topic,revised subtitle,rationale,proposed module title,proposed topic,proposed subtitle/description,proposed rationale for the change
1,"Tue, Aug 18","Module 1. Ethics, Knowledge, Learning, and Intelligence","Module 1. AI-Mediated World: Purposes, Values, Knowledge, and Intelligence",Why Is AI a Public and Ethical Issue?,"Frame AI as a technical project shaped by public values, institutions, and ethical choices.",Where Is AI Mediating the World Around Us?,"Map familiar AI systems across everyday life, institutions, infrastructure, and culture to ground the course in concrete examples.","Start with concrete systems students already encounter so the course feels broad and grounded before moving into ethics, knowledge, and intelligence.","Module 1. AI-Mediated World: Purposes, Values, and Questions",Where Is AI Mediating the World Around Us?,"Map AI systems students already encounter across everyday life, institutions, infrastructure, and culture. Introduce the five guiding questions as the analytical frame students will use all semester.","Keep as opening session. Also use it to introduce the 5 guiding questions explicitly so students have the analytical lens from day one."
1,"Thu, Aug 20","Module 1. Ethics, Knowledge, Learning, and Intelligence","Module 1. AI-Mediated World: Purposes, Values, Knowledge, and Intelligence",What Is AI Supposed to Help Us Do?,"Examine how ideas about safety, care, efficiency, creativity, and improvement shape what AI is imagined to be for.",Why Is AI a Public and Ethical Issue?,"Frame AI as a technical project that redistributes visibility, authority, risk, and responsibility in public life.",Move the public/ethical framing after students have mapped the AI-mediated world; this makes the stakes feel less abstract.,"Module 1. AI-Mediated World: Purposes, Values, and Questions",Why Is AI a Public and Ethical Issue?,"Frame AI as a technical project that redistributes visibility, authority, risk, and responsibility in public life.","Keep as proposed. Public/ethical framing motivates the course without requiring students to apply evaluative tools they have not yet learned."
2,"Tue, Aug 25","Module 1. Ethics, Knowledge, Learning, and Intelligence","Module 1. AI-Mediated World: Purposes, Values, Knowledge, and Intelligence","What Is Knowledge, and How Is It Made?","Examine how evidence, interpretation, institutions, and authority shape what comes to count as knowledge.",What Is AI Supposed to Help Us Do?,"Examine how claims about safety, care, efficiency, creativity, and improvement shape what AI is designed and justified to do.",This keeps the course anchored in human purposes and values before asking how knowledge is produced or automated.,"Module 1. AI-Mediated World: Purposes, Values, and Questions",What Is AI Supposed to Help Us Do?,"Examine how claims about safety, care, efficiency, creativity, and improvement shape what AI is designed and justified to do.","Keep as proposed. Anchors the course in human purposes before mechanism."
2,"Thu, Aug 27","Module 1. Ethics, Knowledge, Learning, and Intelligence","Module 1. AI-Mediated World: Purposes, Values, Knowledge, and Intelligence",What Ethical Lenses Help Us Evaluate AI?,"Introduce utilitarianism, care ethics, deontology, and the common good as practical ways to assess AI systems.",What Ethical Lenses Help Us Evaluate AI?,"Use ethical frameworks to move from personal reaction to structured judgment about benefits, harms, duties, care, and the common good.",Keep this where it is; students need an early vocabulary for taking positions without reducing analysis to personal opinion.,"Module 1. AI-Mediated World: Purposes, Values, and Questions",What Tools Will Help Us Take a Position?,"Preview the five course guiding questions as analytical tools. Introduce ethical frameworks as vocabulary to develop all semester rather than conclusions to reach now.","CHANGE from 'What Ethical Lenses Help Us Evaluate AI?' Students cannot meaningfully apply ethical frameworks before they understand how AI works. Use this session to preview the 5 guiding questions explicitly and introduce ethical frameworks as tools they will develop and apply throughout the course. Move the full applied session to Week 7."
3,"Tue, Sep 1","Module 1. Ethics, Knowledge, Learning, and Intelligence","Module 1. AI-Mediated World: Purposes, Values, Knowledge, and Intelligence","What Is Learning, and How Does It Happen?","Explore learning as biological, developmental, social, and tool-mediated rather than only individual or computational.","What Is Knowledge, and How Is It Made?","Examine how evidence, interpretation, institutions, and authority shape what counts as knowledge before and after AI enters the scene.","Knowledge fits better before learning: students first ask what counts as knowledge, then how people and systems acquire or produce it.","Module 1. AI-Mediated World: Purposes, Values, and Questions","What Is Knowledge, and How Is It Made?","Examine how evidence, interpretation, institutions, and authority shape what counts as knowledge before and after AI enters the scene.","Keep as proposed."
3,"Thu, Sep 3","Module 1. Ethics, Knowledge, Learning, and Intelligence","Module 1. AI-Mediated World: Purposes, Values, Knowledge, and Intelligence",What Counts as Intelligence?,"Compare human, animal, machine, social, and embodied intelligence and ask what each definition leaves out.","What Is Learning, and How Does It Happen?","Compare biological, developmental, social, tool-mediated, and computational learning to avoid reducing learning to model training.",Consider pushing intelligence into the transition to Module 2 or pairing it with learning; learning is the bridge to machine learning.,"Module 1. AI-Mediated World: Purposes, Values, and Questions","What Is Learning, and How Does It Happen?","Compare biological, developmental, social, tool-mediated, and computational learning to avoid reducing learning to model training.","Keep as proposed."
4,"Tue, Sep 8",Module 2. How Do Machines Learn?,Module 2. Technical and Social Mechanisms of Machine Learning,How Does the World Become Data?,"Introduce sensing, measurement, categories, baselines, proxies, and features as the first step in machine learning.",What Counts as Intelligence?,"Compare human, animal, social, embodied, and machine intelligence while asking what each definition emphasizes or leaves out.","Use this as a hinge: after human/social/biological learning, ask what counts as machine intelligence before datafication begins.","Module 1. AI-Mediated World: Purposes, Values, and Questions",What Counts as Intelligence?,"Compare human, animal, social, embodied, and machine intelligence while asking what each definition emphasizes or leaves out.","Moved into Module 1. This is a definitional question in the same register as 'What Is Knowledge?' and 'What Is Learning?' — all three ask students to examine a concept they think they already understand. Module 2 then opens cleanly with How Does the World Become Data?"
4,"Thu, Sep 10",Module 2. How Do Machines Learn?,Module 2. Technical and Social Mechanisms of Machine Learning,What Gets Built Into the Data?,"Use datasets, proxies, and feature design to ask what assumptions and exclusions are carried into a system.",How Does the World Become Data?,"Introduce sensing, measurement, categories, baselines, proxies, and features as technical and social acts of translation.",Shift datafication here so Module 2 opens with the technical/social process of turning the world into inputs.,Module 2. Technical and Social Mechanisms of Machine Learning,How Does the World Become Data?,"Introduce sensing, measurement, categories, baselines, proxies, and features as technical and social acts of translation.","Keep as proposed."
5,"Tue, Sep 15",Module 2. How Do Machines Learn?,Module 2. Technical and Social Mechanisms of Machine Learning,How Do Machines Learn from Data?,"Introduce models, training, inference, and the basic machine learning pipeline.",What Gets Built Into the Data?,"Use datasets, proxies, and feature design to examine how assumptions, exclusions, histories, and institutional priorities enter AI systems.","Datasets, labels, proxies, and exclusions should precede the model pipeline so students see training data as already social.",Module 2. Technical and Social Mechanisms of Machine Learning,What Gets Built Into the Data?,"Use datasets, proxies, and feature design to examine how assumptions, exclusions, histories, and institutional priorities enter AI systems.","Keep as proposed."
5,"Thu, Sep 17",Module 2. How Do Machines Learn?,Module 2. Technical and Social Mechanisms of Machine Learning,What Kind of Learning Is This?,"Compare supervised, unsupervised, and related learning paradigms without treating them as the same thing.",How Do Machines Learn from Data?,"Introduce models, training, inference, and evaluation as the basic pipeline through which data becomes computational judgment.",Keep the model pipeline before learning paradigms; students need the general pipeline before distinguishing types.,Module 2. Technical and Social Mechanisms of Machine Learning,How Do Machines Learn from Data?,"Introduce models, training, inference, and evaluation as the basic pipeline through which data becomes computational judgment.","Keep as proposed."
6,"Tue, Sep 22",Module 2. How Do Machines Learn?,Module 2. Technical and Social Mechanisms of Machine Learning,How Do Scores Become Decisions?,"Trace how model outputs become scores, rankings, thresholds, and institutional action.",What Kind of Learning Is This?,"Distinguish supervised, unsupervised, reinforcement, and related learning paradigms by asking what feedback the system receives.",Keep supervised/unsupervised learning before scores and decisions; it helps students understand where different outputs come from.,Module 2. Technical and Social Mechanisms of Machine Learning,What Kind of Learning Is This?,"Distinguish supervised, unsupervised, reinforcement, and related learning paradigms by asking what feedback the system receives.","Keep as proposed."
6,"Thu, Sep 24",Module 2. How Do Machines Learn?,Module 2. Technical and Social Mechanisms of Machine Learning,Who Bears the Cost of Error?,"Examine how false positives, false negatives, and threshold choices distribute harm and accountability.",How Do Scores Become Decisions?,"Trace how model outputs become scores, rankings, thresholds, alerts, recommendations, and institutional actions.",Scores-to-decisions is the missing bridge between mechanism and institutional action; keep it immediately before error.,Module 2. Technical and Social Mechanisms of Machine Learning,How Do Scores Become Decisions?,"Trace how model outputs become scores, rankings, thresholds, alerts, recommendations, and institutional actions.","Keep as proposed."
7,"Tue, Sep 29",Module 2. How Do Machines Learn?,Module 2. Technical and Social Mechanisms of Machine Learning,When Does Prediction Start to Look Like Intelligence?,"Examine how prediction, pattern recognition, and historical data can make systems seem smart.",Who Bears the Cost of Error?,"Examine how false positives, false negatives, and uncertainty distribute burdens differently across people and contexts.","Error should follow thresholds and precede prediction, because prediction only matters socially once errors affect people differently.",Module 2. Technical and Social Mechanisms of Machine Learning,Who Bears the Cost of Error?,"Examine how false positives, false negatives, and uncertainty distribute burdens differently across people and contexts.","Keep as proposed."
7,"Thu, Oct 1",Module 2. How Do Machines Learn?,Module 2. Technical and Social Mechanisms of Machine Learning,Are Predictions Ever Neutral?,"Explore how prediction systems reuse history, reinforce patterns, and help shape the futures they claim to forecast.",When Does Prediction Start to Look Like Intelligence?,Explore how pattern recognition and historical data can make systems appear smart even when they are extending past regularities.,This is a strong sequence: prediction-as-intelligence before prediction-as-history/future-making.,Module 2. Technical and Social Mechanisms of Machine Learning,What Ethical Lenses Help Us Evaluate AI?,"Apply utilitarianism, care ethics, deontology, and the common good to concrete AI mechanisms students now understand: error, thresholds, training data, and scores.","MOVED HERE from Week 2. Students now have enough knowledge of mechanism, error, and thresholds to apply ethical frameworks to real cases. This is when the frameworks grip something concrete. The prediction-as-intelligence topic folds into Week 8 Thu."
8,"Tue, Oct 6",Module 3. Brain-Inspired Computing,"Module 3. Brain-Inspired, Neuromorphic, and Hardware-Level AI",Fall Break,No class,Fall Break,No class.,No class.,(no class),Fall Break,No class.,No change.
8,"Thu, Oct 8",Module 3. Brain-Inspired Computing,"Module 3. Brain-Inspired, Neuromorphic, and Hardware-Level AI",What Can Neuroscience Tell Us?,Ground brain-inspired computing in basic neuroscience terms and their limits.,Are Predictions Ever Neutral?,"Analyze how prediction systems reuse history, reinforce patterns, and help shape the futures they claim merely to forecast.","Use this date to finish Module 2 with prediction neutrality, preventing the break from interrupting the prediction-to-normality bridge.",Module 2. Technical and Social Mechanisms of Machine Learning,Are Predictions Ever Neutral?,"Analyze how prediction systems reuse history, reinforce patterns, and appear to make systems smarter than they are. This session absorbs the prediction-as-apparent-intelligence topic displaced from Week 7.","Keep as proposed. Finishes Module 2 after the break. Absorbs the prediction-as-intelligence topic from Week 7 Thu. Module 3 begins Week 9."
9,"Tue, Oct 13",Module 3. Brain-Inspired Computing,"Module 3. Brain-Inspired, Neuromorphic, and Hardware-Level AI",Why Are Neural Networks Hard to Trust?,"Connect neural networks to opacity, contestability, trust, and over-reliance.",When Does AI Define Normal?,"Use anomaly detection to examine how baselines and thresholds construct normality, deviance, risk, and contestability.","Add anomaly/normality here as the bridge from prediction, thresholds, and error into BRAID and neuromorphic anomaly detection.","Module 3. Brain-Inspired, Neuromorphic, and Hardware-Level AI",When Does AI Define Normal?,"Use anomaly detection to examine how baselines and thresholds construct normality, deviance, risk, and contestability.","Keep as proposed. Good bridge from prediction and error into neuromorphic anomaly detection."
9,"Thu, Oct 15",Module 3. Brain-Inspired Computing,"Module 3. Brain-Inspired, Neuromorphic, and Hardware-Level AI",How Does Neuromorphic Computing Work?,"Introduce neuromorphic computing through spiking neural networks, event-driven signals, and timing.",Why Are Neural Networks Hard to Trust?,"Connect neural-network opacity to explanation, over-reliance, contestability, documentation, and accountability.",Move opacity/trust after anomaly/normality; this prepares students to ask what becomes hard to explain or contest.,"Module 3. Brain-Inspired, Neuromorphic, and Hardware-Level AI",Why Are Neural Networks Hard to Trust?,"Connect neural-network opacity to explanation, over-reliance, contestability, documentation, and accountability.","Keep as proposed."
10,"Tue, Oct 20",Module 4. AI in the World: Case Studies and Domain Applications,"Module 4. AI in Institutions: Domains, Power, and Solutionism",How Is AI Changing Work and Employment?,"Examine hiring, monitoring, productivity systems, and algorithmic management as cases of AI in the workplace.",What Can Neuroscience Tell Us?,Introduce basic neuroscience concepts while clarifying what brain metaphors can and cannot explain about AI systems.,Move neuroscience here only if Module 3 is expanded; otherwise this is a warning that brain-inspired computing is currently too compressed.,"Module 3. Brain-Inspired, Neuromorphic, and Hardware-Level AI",What Can Neuroscience Tell Us?,"Introduce basic neuroscience concepts while clarifying what brain metaphors can and cannot explain about AI systems.","Keep as proposed."
10,"Thu, Oct 22",Module 4. AI in the World: Case Studies and Domain Applications,"Module 4. AI in Institutions: Domains, Power, and Solutionism","How Is AI Reshaping News, Politics, and Public Attention?","Use media, recommendation, and political communication systems to examine visibility, persuasion, and public influence.",How Does Neuromorphic Computing Work?,"Introduce spiking, event-driven computation, timing, edge learning, and hardware-level AI as a different model of machine intelligence.","Put neuromorphic computing after neural networks/trust so it feels like a material/hardware turn, not an isolated detour.","Module 3. Brain-Inspired, Neuromorphic, and Hardware-Level AI",How Does Neuromorphic Computing Work?,"Introduce spiking, event-driven computation, timing, edge learning, and hardware-level AI as a different model of machine intelligence.","Keep as proposed."
11,"Tue, Oct 27",Module 4. AI in the World: Case Studies and Domain Applications,"Module 4. AI in Institutions: Domains, Power, and Solutionism",How Is AI Changing Healthcare and Biosensing?,"Use clinical decision support, wearables, and biosensing to examine care, risk, monitoring, and vulnerability.",BRAID Case Study: How Can We Govern an Emerging AI Before Its Uses Are Settled?,"Apply the course framework to neuromorphic anomaly detection, focusing on technical mechanism, social use, auditability, and anticipatory governance.","Use BRAID as a case study immediately after neuromorphic computing, before switching to broader domains.","Module 4. AI in Institutions: Domains, Power, and Solutionism",How Is AI Changing Work and Employment?,"Examine hiring, monitoring, productivity scoring, and algorithmic management as systems that classify workers and redistribute workplace power.","CHANGE. Move BRAID case study to Week 13 Thu after students have seen domain cases. Start Module 4 domain sequence here with work and employment — the most familiar institutional context for most students."
11,"Thu, Oct 29",Module 4. AI in the World: Case Studies and Domain Applications,"Module 4. AI in Institutions: Domains, Power, and Solutionism",How Is AI Entering Schools and Other Social Institutions?,"Use schools and other institutional settings to examine tutoring, proctoring, monitoring, and administrative triage.",How Is AI Changing Work and Employment?,"Examine hiring, monitoring, productivity scoring, and algorithmic management as systems that classify workers and redistribute workplace power.",Begin the domain sequence after the BRAID case; work is a concrete institutional entry point.,"Module 4. AI in Institutions: Domains, Power, and Solutionism","How Is AI Reshaping News, Politics, and Public Attention?","Use recommendation, generation, targeting, and ranking systems to examine visibility, persuasion, attention, and public influence.","Domain sequence shifts up to fill space left by BRAID moving: work → media → healthcare → schools."
12,"Tue, Nov 3",Module 4. AI in the World: Case Studies and Domain Applications,"Module 4. AI in Institutions: Domains, Power, and Solutionism",How Do AI Systems Redistribute Power and Control?,"Examine platforms, chips, cloud vendors, standards, and repair pathways as sites where power can shift, pool, or become harder to contest.","How Is AI Reshaping News, Politics, and Public Attention?","Use recommendation, generation, targeting, and ranking systems to examine visibility, persuasion, attention, and public influence.","Keep news/politics as a domain case, but ensure it uses the shared template: form, mechanism, social work, context, position.","Module 4. AI in Institutions: Domains, Power, and Solutionism",How Is AI Changing Healthcare and Biosensing?,"Use clinical decision support, wearables, and biosensing to examine risk classification, care, monitoring, vulnerability, and consent.","Domain sequence continues shifting up."
12,"Thu, Nov 5",Module 4. AI in the World: Case Studies and Domain Applications,"Module 4. AI in Institutions: Domains, Power, and Solutionism",When Does AI Become Technological Solutionism?,"Use domain cases to ask when AI is being asked to solve problems that are also political, institutional, or social.",How Is AI Changing Healthcare and Biosensing?,"Use clinical decision support, wearables, and biosensing to examine risk classification, care, monitoring, vulnerability, and consent.","Healthcare/biosensing is a strong bridge to care, vulnerability, monitoring, and risk classification.","Module 4. AI in Institutions: Domains, Power, and Solutionism",How Is AI Entering Schools and Other Social Institutions?,"Use tutoring, proctoring, AI detection, monitoring, and administrative triage to examine authority, suspicion, support, and student sorting.","Schools last in the domain sequence because students can reason from their own institutional experience."
13,"Tue, Nov 10",Module 5. Governing Uncertain Futures,"Module 5. Governance, Alternatives, and Emerging Futures",Who Is Affected?,"Map benefits, risks, and governance questions around an emerging AI system.",How Is AI Entering Schools and Other Social Institutions?,"Use tutoring, proctoring, AI detection, monitoring, and administrative triage to examine authority, suspicion, support, and student sorting.",Schools are a useful final domain because students can reason from lived institutional experience.,"Module 4. AI in Institutions: Domains, Power, and Solutionism",How Do AI Systems Redistribute Power and Control?,"Examine platforms, chips, cloud vendors, standards, repair pathways, and infrastructure as sites where AI power concentrates or becomes contestable.","Keep in this position. After four domain cases, students can synthesize across contexts and prepare for the pivot into governance."
13,"Thu, Nov 12",Module 5. Governing Uncertain Futures,"Module 5. Governance, Alternatives, and Emerging Futures",What Alternatives Are Still Possible?,"Consider redesign, repair, democratic governance, and the option to say no.",How Do AI Systems Redistribute Power and Control?,"Examine platforms, chips, cloud vendors, standards, repair pathways, and infrastructure as sites where AI power concentrates or becomes contestable.","Move power/control after several domains so it synthesizes what students have seen across work, media, healthcare, and schools.","Module 5. Governance, Alternatives, and Emerging Futures",BRAID Case Study: How Can We Govern an Emerging AI Before Its Uses Are Settled?,"Apply anticipatory governance to neuromorphic anomaly detection, drawing on domain cases to ground the analysis in real institutional contexts students have now encountered.","MOVED HERE from Week 11 Tue. Students have now seen four domain cases and a power/control synthesis. They can do more grounded anticipatory governance because they understand how AI actually lands in institutions. BRAID opens the governance unit rather than interrupting the domain sequence."
14,"Tue, Nov 17",Module 5. Governing Uncertain Futures,"Module 5. Governance, Alternatives, and Emerging Futures",University Senior Symposium,No class,University Senior Symposium,No class.,No class.,(no class),University Senior Symposium,No class.,No change.
14,"Thu, Nov 19",Module 5. Governing Uncertain Futures,"Module 5. Governance, Alternatives, and Emerging Futures",How Should We Govern Emerging AI?,"Use NIST, the EU AI Act, OECD, and IEEE to sharpen governance questions.",When Does AI Become Technological Solutionism?,"Use domain cases to ask when AI reframes political, institutional, or social problems as technical optimization problems.",Use solutionism as the pivot from domain analysis to governance; it asks whether AI is even the right response.,"Module 5. Governance, Alternatives, and Emerging Futures",When Does AI Become Technological Solutionism?,"Use domain cases to ask when AI reframes political, institutional, or social problems as technical optimization problems.","Keep as proposed. Solutionism is a strong pivot from domain analysis to governance."
15,"Tue, Nov 24",Module 6. Public Communication,Module 6. Public Communication and Synthesis,How Do We Make This Clear to Others?,"Use peer review to strengthen clarity, accuracy, and public usefulness.",Who Is Affected?,"Map stakeholders, benefits, burdens, missing publics, and governance questions around an AI system or emerging technology.",Stakeholder mapping should start the governance unit and feed directly into final project claims.,"Module 5. Governance, Alternatives, and Emerging Futures",Who Is Affected?,"Map stakeholders, benefits, burdens, missing publics, and governance questions around an AI system or emerging technology.","Keep as proposed."
15,"Thu, Nov 26",Module 6. Public Communication,Module 6. Public Communication and Synthesis,Thanksgiving Break,No class,Thanksgiving Break,No class.,No class.,(no class),Thanksgiving Break,No class.,No change.
16,"Tue, Dec 1",Module 6. Public Communication,Module 6. Public Communication and Synthesis,What Have We Learned?,"Bring together mechanism, stakeholders, risks, and governance questions.",What Alternatives Are Still Possible?,"Consider redesign, repair, slower deployment, democratic governance, non-AI interventions, and the option to refuse use.",Alternatives/refusal/redesign belongs before formal frameworks so governance does not collapse into compliance.,"Module 5. Governance, Alternatives, and Emerging Futures",What Alternatives Are Still Possible?,"Consider redesign, repair, slower deployment, democratic governance, non-AI interventions, and the option to refuse use.","Keep as proposed."
16,"Thu, Dec 3",Module 6. Public Communication,Module 6. Public Communication and Synthesis,Optional Support,"Optional time for conferences, revision, and final project support.",How Should We Govern Emerging AI?,"Use NIST, the EU AI Act, OECD, and IEEE to sharpen questions about risk, oversight, documentation, rights, and accountability.","Use the final class meeting for NIST, EU AI Act, OECD, and IEEE as a synthesis rather than introducing frameworks too early.","Module 5. Governance, Alternatives, and Emerging Futures",How Should We Govern Emerging AI?,"Use NIST, the EU AI Act, OECD, and IEEE to sharpen questions about risk, oversight, documentation, rights, and accountability.","Keep as proposed. Formal frameworks as synthesis rather than early introduction."
17,Final exam period,Module 7. Final Exam / Presentations,Module 7. Final Public Explainers and ELSI Presentations,What Should Others Understand?,Present a public-facing explainer and ELSI analysis.,What Should Others Understand?,"Present a public-facing technical explainer and ELSI analysis that helps others reason about an AI system's mechanisms, stakes, and governance.","Keep as-is; final presentations should demonstrate form, mechanism, social work, context, and position.",Module 6. Final Public Explainers and ELSI Presentations,What Should Others Understand?,"Present a public-facing technical explainer and ELSI analysis that helps others reason about an AI system's mechanisms, stakes, and governance.","Keep as proposed."
